127.0.0.1 - - [26/Aug/2021:18:47:15 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:48:01 -0300] "GET /form-cadas-pessoa/login.jsp HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:48:02 -0300] "GET /form-cadas-pessoa/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:48:32 -0300] "GET /form-cadas-pessoa/login.jsp HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:48:33 -0300] "GET /form-cadas-pessoa/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:48:34 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:49:28 -0300] "GET /form-cadas-pessoa/login.jsp HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:49:57 -0300] "GET /form-cadas-pessoa/login.jsp HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:51:11 -0300] "GET /form-cadas-pessoa/login.jsp HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:51:31 -0300] "GET /form-cadas-pessoa/login.jsp HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:51:49 -0300] "GET /form-cadas-pessoa/login.jsp HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:53:47 -0300] "GET /form-cadas-pessoa/login.jsp HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:54:56 -0300] "GET /form-cadas-pessoa/login.jsp HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [26/Aug/2021:18:55:46 -0300] "GET /form-cadas-pessoa/login.jsp HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [26/Aug/2021:19:13:39 -0300] "POST /form-cadas-pessoa/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2021:19:13:39 -0300] "GET /form-cadas-pessoa/form-cadastro.jsp HTTP/1.1" 500 2543
